1786689 = Verdict: Unsolved ; Iters: 717878 ; Length: -1
1790999 = Verdict: Unsolved ; Iters: 2314614 ; Length: -1
1795125 = Verdict: Unsolved ; Iters: 9639713 ; Length: -1
1805080 = Verdict: Unsolved ; Iters: 6696763 ; Length: -1
1815263 = Verdict: Unsolved ; Iters: 54379 ; Length: -1
1816567 = Verdict: Unsolved ; Iters: 111316 ; Length: -1
1819692 = Verdict: Solved ; Iters: 2806 ; Length: 106
1823412 = Verdict: Unsolved ; Iters: 2585755 ; Length: -1
1825831 = Verdict: Unsolved ; Iters: 3197296 ; Length: -1
1826781 = Verdict: Unsolved ; Iters: 313266 ; Length: -1
1832689 = Verdict: Unsolved ; Iters: 237485 ; Length: -1
1835166 = Verdict: Unsolved ; Iters: 8255934 ; Length: -1
1839414 = Verdict: Solved ; Iters: 4731 ; Length: 108
1841112 = Verdict: Unsolved ; Iters: 9489298 ; Length: -1
1841375 = Verdict: Unsolved ; Iters: 2256338 ; Length: -1
1848288 = Verdict: Solved ; Iters: 14076 ; Length: 111
1871305 = Verdict: Unsolved ; Iters: 1331178 ; Length: -1
1874994 = Verdict: Unsolved ; Iters: 28332395 ; Length: -1
1881210 = Verdict: Solved ; Iters: 151569 ; Length: 115
1883289 = Verdict: Unsolved ; Iters: 298643 ; Length: -1
1887110 = Verdict: Unsolved ; Iters: 831821 ; Length: -1
1898253 = Verdict: Solved ; Iters: 13968 ; Length: 103
1898285 = Verdict: Unsolved ; Iters: 225721 ; Length: -1
1917124 = Verdict: Solved ; Iters: 9745 ; Length: 112
1918467 = Verdict: Solved ; Iters: 4963 ; Length: 108
1920164 = Verdict: Unsolved ; Iters: 188377 ; Length: -1
1925734 = Verdict: Solved ; Iters: 7776 ; Length: 109
1946728 = Verdict: Unsolved ; Iters: 1992 ; Length: -1
1954347 = Verdict: Unsolved ; Iters: 5366143 ; Length: -1
1980399 = Verdict: Solved ; Iters: 107691 ; Length: 117
1984980 = Verdict: Unsolved ; Iters: 528565 ; Length: -1
1994994 = Verdict: Unsolved ; Iters: 830189 ; Length: -1
2000144 = Verdict: Unsolved ; Iters: 209731 ; Length: -1
2042621 = Verdict: Unsolved ; Iters: 2023285 ; Length: -1
2044848 = Verdict: Unsolved ; Iters: 3007859 ; Length: -1
2051232 = Verdict: Solved ; Iters: 33360 ; Length: 94
2063966 = Verdict: Unsolved ; Iters: 1402316 ; Length: -1
2080139 = Verdict: Unsolved ; Iters: 1192916 ; Length: -1
2085959 = Verdict: Unsolved ; Iters: 2654685 ; Length: -1
2089677 = Verdict: Solved ; Iters: 35532 ; Length: 121
2089705 = Verdict: Unsolved ; Iters: 286175 ; Length: -1
2090879 = Verdict: Unsolved ; Iters: 439084 ; Length: -1
2097178 = Verdict: Solved ; Iters: 6889 ; Length: 95
2109026 = Verdict: Solved ; Iters: 217383 ; Length: 98
2110498 = Verdict: Intractable ; Iters: 32000000 ; Length: -1
2110887 = Verdict: Solved ; Iters: 230173 ; Length: 121
2143310 = Verdict: Unsolved ; Iters: 597186 ; Length: -1
2146632 = Verdict: Solved ; Iters: 20798 ; Length: 109
2150784 = Verdict: Unsolved ; Iters: 2421194 ; Length: -1
2156465 = Verdict: Unsolved ; Iters: 28250 ; Length: -1
2176832 = Verdict: Unsolved ; Iters: 564416 ; Length: -1
2182578 = Verdict: Solved ; Iters: 15962 ; Length: 105
2210265 = Verdict: Solved ; Iters: 66396 ; Length: 108
2220949 = Verdict: Unsolved ; Iters: 2133058 ; Length: -1
2249680 = Verdict: Unsolved ; Iters: 182883 ; Length: -1
2251891 = Verdict: Unsolved ; Iters: 206220 ; Length: -1
2255707 = Verdict: Unsolved ; Iters: 1845728 ; Length: -1
2266404 = Verdict: Solved ; Iters: 3534943 ; Length: 103
2272362 = Verdict: Solved ; Iters: 183809 ; Length: 118
2275148 = Verdict: Unsolved ; Iters: 2297848 ; Length: -1
2278602 = Verdict: Unsolved ; Iters: 181474 ; Length: -1
2291155 = Verdict: Solved ; Iters: 4555 ; Length: 113
2294999 = Verdict: Unsolved ; Iters: 1546921 ; Length: -1
2298052 = Verdict: Unsolved ; Iters: 658291 ; Length: -1
2301925 = Verdict: Intractable ; Iters: 32000000 ; Length: -1
2311501 = Verdict: Solved ; Iters: 13792 ; Length: 101
2331955 = Verdict: Unsolved ; Iters: 764360 ; Length: -1
2338460 = Verdict: Solved ; Iters: 7147 ; Length: 119
2340369 = Verdict: Unsolved ; Iters: 6910324 ; Length: -1
2354778 = Verdict: Unsolved ; Iters: 89724 ; Length: -1
2359887 = Verdict: Unsolved ; Iters: 256317 ; Length: -1
2372223 = Verdict: Unsolved ; Iters: 62814 ; Length: -1
2376681 = Verdict: Unsolved ; Iters: 2671 ; Length: -1
2383377 = Verdict: Solved ; Iters: 6891 ; Length: 105
2403600 = Verdict: Unsolved ; Iters: 1835145 ; Length: -1
2412981 = Verdict: Solved ; Iters: 981866 ; Length: 113
2423098 = Verdict: Unsolved ; Iters: 772344 ; Length: -1
2440014 = Verdict: Unsolved ; Iters: 101746 ; Length: -1
2443721 = Verdict: Unsolved ; Iters: 3781596 ; Length: -1
2448092 = Verdict: Unsolved ; Iters: 513729 ; Length: -1
2457896 = Verdict: Unsolved ; Iters: 1690451 ; Length: -1
2458766 = Verdict: Unsolved ; Iters: 472315 ; Length: -1
2467999 = Verdict: Unsolved ; Iters: 1792582 ; Length: -1
2471120 = Verdict: Solved ; Iters: 804035 ; Length: 103
2498123 = Verdict: Solved ; Iters: 51189 ; Length: 104
2498541 = Verdict: Unsolved ; Iters: 113429 ; Length: -1
2519618 = Verdict: Unsolved ; Iters: 495929 ; Length: -1
2524794 = Verdict: Unsolved ; Iters: 1956222 ; Length: -1
2527309 = Verdict: Unsolved ; Iters: 4853765 ; Length: -1
2533435 = Verdict: Solved ; Iters: 2597 ; Length: 111
2544308 = Verdict: Unsolved ; Iters: 384106 ; Length: -1
2547537 = Verdict: Unsolved ; Iters: 1136752 ; Length: -1
2556888 = Verdict: Solved ; Iters: 10952 ; Length: 110
2557429 = Verdict: Solved ; Iters: 2080913 ; Length: 99
2562986 = Verdict: Solved ; Iters: 5991 ; Length: 106
2574967 = Verdict: Unsolved ; Iters: 212258 ; Length: -1
2581207 = Verdict: Unsolved ; Iters: 1020137 ; Length: -1
2594986 = Verdict: Unsolved ; Iters: 8271496 ; Length: -1
2595082 = Verdict: Unsolved ; Iters: 526738 ; Length: -1
2599758 = Verdict: Unsolved ; Iters: 184407 ; Length: -1
2612554 = Verdict: Solved ; Iters: 13655 ; Length: 98
2621319 = Verdict: Solved ; Iters: 156868 ; Length: 103
2625982 = Verdict: Unsolved ; Iters: 1873596 ; Length: -1
2626456 = Verdict: Unsolved ; Iters: 68278 ; Length: -1
2659495 = Verdict: Solved ; Iters: 334720 ; Length: 106
2660532 = Verdict: Unsolved ; Iters: 257935 ; Length: -1
2663554 = Verdict: Unsolved ; Iters: 156563 ; Length: -1
2676376 = Verdict: Unsolved ; Iters: 442066 ; Length: -1
2683643 = Verdict: Unsolved ; Iters: 1653892 ; Length: -1
2692611 = Verdict: Unsolved ; Iters: 765676 ; Length: -1
2694568 = Verdict: Unsolved ; Iters: 154290 ; Length: -1
2702486 = Verdict: Unsolved ; Iters: 451491 ; Length: -1
2704829 = Verdict: Unsolved ; Iters: 842300 ; Length: -1
2737190 = Verdict: Unsolved ; Iters: 424287 ; Length: -1
2739518 = Verdict: Solved ; Iters: 236961 ; Length: 127
2747048 = Verdict: Unsolved ; Iters: 385906 ; Length: -1
2748940 = Verdict: Unsolved ; Iters: 827789 ; Length: -1
2785101 = Verdict: Unsolved ; Iters: 4734199 ; Length: -1
2788474 = Verdict: Unsolved ; Iters: 617053 ; Length: -1
2794596 = Verdict: Solved ; Iters: 58716 ; Length: 116
2798795 = Verdict: Unsolved ; Iters: 700658 ; Length: -1
2803476 = Verdict: Solved ; Iters: 9171 ; Length: 108
2813275 = Verdict: Solved ; Iters: 9045 ; Length: 132
2818462 = Verdict: Unsolved ; Iters: 4708 ; Length: -1
2822630 = Verdict: Solved ; Iters: 30243 ; Length: 98
2824243 = Verdict: Solved ; Iters: 61944 ; Length: 123
2842258 = Verdict: Unsolved ; Iters: 5378473 ; Length: -1
2847361 = Verdict: Unsolved ; Iters: 801264 ; Length: -1
2860380 = Verdict: Unsolved ; Iters: 901012 ; Length: -1
2876477 = Verdict: Unsolved ; Iters: 2529274 ; Length: -1
2891449 = Verdict: Solved ; Iters: 2350 ; Length: 96
2893164 = Verdict: Unsolved ; Iters: 38918 ; Length: -1
2897665 = Verdict: Unsolved ; Iters: 19530 ; Length: -1
2901645 = Verdict: Unsolved ; Iters: 3684671 ; Length: -1
2905853 = Verdict: Unsolved ; Iters: 396857 ; Length: -1
2906964 = Verdict: Unsolved ; Iters: 391299 ; Length: -1
2909676 = Verdict: Unsolved ; Iters: 137802 ; Length: -1
2919974 = Verdict: Unsolved ; Iters: 878969 ; Length: -1
2923885 = Verdict: Unsolved ; Iters: 563541 ; Length: -1
2945061 = Verdict: Solved ; Iters: 2565 ; Length: 102
2966780 = Verdict: Unsolved ; Iters: 762792 ; Length: -1
2979753 = Verdict: Solved ; Iters: 88830 ; Length: 103
2985010 = Verdict: Solved ; Iters: 886306 ; Length: 113
2990059 = Verdict: Solved ; Iters: 15084 ; Length: 110
3003999 = Verdict: Solved ; Iters: 165773 ; Length: 105
3007792 = Verdict: Unsolved ; Iters: 1032263 ; Length: -1
3013618 = Verdict: Unsolved ; Iters: 359418 ; Length: -1
3021117 = Verdict: Unsolved ; Iters: 710860 ; Length: -1
3032106 = Verdict: Unsolved ; Iters: 1538254 ; Length: -1
3032426 = Verdict: Unsolved ; Iters: 378559 ; Length: -1
3051488 = Verdict: Unsolved ; Iters: 4892130 ; Length: -1
3070359 = Verdict: Unsolved ; Iters: 289070 ; Length: -1
3073918 = Verdict: Unsolved ; Iters: 4435129 ; Length: -1
3089245 = Verdict: Unsolved ; Iters: 101836 ; Length: -1
3089461 = Verdict: Solved ; Iters: 3756 ; Length: 111
3107713 = Verdict: Unsolved ; Iters: 1646790 ; Length: -1
3122138 = Verdict: Unsolved ; Iters: 990664 ; Length: -1
3140445 = Verdict: Solved ; Iters: 311691 ; Length: 111
3143970 = Verdict: Solved ; Iters: 3091 ; Length: 99
3144011 = Verdict: Solved ; Iters: 63104 ; Length: 119
3158658 = Verdict: Unsolved ; Iters: 295221 ; Length: -1
3169370 = Verdict: Solved ; Iters: 7343 ; Length: 99
3176403 = Verdict: Unsolved ; Iters: 779692 ; Length: -1
3189614 = Verdict: Unsolved ; Iters: 4720310 ; Length: -1
